Results of:	findByDate 6
- - - - - - - - - - - - - - - - - - - -

  41534543	VILLAGE CROWN       	36 BATTERY PLACE    	Jewish/Kosher       	01/04/2016	 68
  41534543	VILLAGE CROWN       	36 BATTERY PLACE    	Jewish/Kosher       	01/04/2016	 68
  41534543	VILLAGE CROWN       	36 BATTERY PLACE    	Jewish/Kosher       	01/04/2016	 68
  41534543	VILLAGE CROWN       	36 BATTERY PLACE    	Jewish/Kosher       	01/04/2016	 68
  41534543	VILLAGE CROWN       	36 BATTERY PLACE    	Jewish/Kosher       	01/04/2016	 68
  41548686	ABA TURKISH RESTAURA	325 WEST 57 STREET  	Turkish             	01/04/2016	 13
  41548686	ABA TURKISH RESTAURA	325 WEST 57 STREET  	Turkish             	01/04/2016	 13
  41548686	ABA TURKISH RESTAURA	325 WEST 57 STREET  	Turkish             	01/04/2016	 13
  41553771	RICO'S CHICKEN      	14604 45 AVENUE     	Latin (Cuban, Domini	01/04/2016	   
  41553771	RICO'S CHICKEN      	14604 45 AVENUE     	Latin (Cuban, Domini	01/04/2016	 12
  41553771	RICO'S CHICKEN      	14604 45 AVENUE     	Latin (Cuban, Domini	01/04/2016	 12
  41557895	GRIMALDI'S          	656 6 AVENUE        	Pizza               	01/04/2016	   
  41557895	GRIMALDI'S          	656 6 AVENUE        	Pizza               	01/04/2016	 19
  41557895	GRIMALDI'S          	656 6 AVENUE        	Pizza               	01/04/2016	 19
  41557895	GRIMALDI'S          	656 6 AVENUE        	Pizza               	01/04/2016	 19
  41557895	GRIMALDI'S          	656 6 AVENUE        	Pizza               	01/04/2016	 19
  41562252	OMONIA NEXT DOOR    	3216 BROADWAY       	Bakery              	01/04/2016	   
  41562252	OMONIA NEXT DOOR    	3216 BROADWAY       	Bakery              	01/04/2016	  9
  41562252	OMONIA NEXT DOOR    	3216 BROADWAY       	Bakery              	01/04/2016	  9
  41562252	OMONIA NEXT DOOR    	3216 BROADWAY       	Bakery              	01/04/2016	  9
  41575838	GOLD STAR JERK CENTE	3768 WHITE PLAINS RO	Caribbean           	01/04/2016	   
  41575838	GOLD STAR JERK CENTE	3768 WHITE PLAINS RO	Caribbean           	01/04/2016	 23
  41575838	GOLD STAR JERK CENTE	3768 WHITE PLAINS RO	Caribbean           	01/04/2016	 23
  41575838	GOLD STAR JERK CENTE	3768 WHITE PLAINS RO	Caribbean           	01/04/2016	 23
  41575838	GOLD STAR JERK CENTE	3768 WHITE PLAINS RO	Caribbean           	01/04/2016	 23
  41575838	GOLD STAR JERK CENTE	3768 WHITE PLAINS RO	Caribbean           	01/04/2016	 23
  41580517	FALAFEL TARBOOSH    	1701 AMSTERDAM AVENU	Middle Eastern      	01/04/2016	 14
  41580517	FALAFEL TARBOOSH    	1701 AMSTERDAM AVENU	Middle Eastern      	01/04/2016	 14
  41595712	PEQUENA             	86 SOUTH PORTLAND AV	Mexican             	01/04/2016	 13
  41595712	PEQUENA             	86 SOUTH PORTLAND AV	Mexican             	01/04/2016	 13
  41595848	SPOONS              	2923 AVENUE J       	Jewish/Kosher       	01/04/2016	 17
  41595848	SPOONS              	2923 AVENUE J       	Jewish/Kosher       	01/04/2016	 17
  41606994	GLATT VOSTOK        	5505 13 AVENUE      	Jewish/Kosher       	01/04/2016	 11
  41606994	GLATT VOSTOK        	5505 13 AVENUE      	Jewish/Kosher       	01/04/2016	 11
  41609227	ANNIE CHAN'S RESTAUR	19011 UNION TURNPIKE	Jewish/Kosher       	01/04/2016	 28
  41609227	ANNIE CHAN'S RESTAUR	19011 UNION TURNPIKE	Jewish/Kosher       	01/04/2016	 28
  41609227	ANNIE CHAN'S RESTAUR	19011 UNION TURNPIKE	Jewish/Kosher       	01/04/2016	 28
  41609227	ANNIE CHAN'S RESTAUR	19011 UNION TURNPIKE	Jewish/Kosher       	01/04/2016	 28
  41621807	WEI WEST/BEANS & GRE	102 NORTH END AVENUE	Asian               	01/04/2016	 12
  41621807	WEI WEST/BEANS & GRE	102 NORTH END AVENUE	Asian               	01/04/2016	 12
  41621807	WEI WEST/BEANS & GRE	102 NORTH END AVENUE	Asian               	01/04/2016	 12
  41626151	CHEN WONG RESTAURANT	197 MADISON STREET  	Chinese             	01/04/2016	  8
  41626151	CHEN WONG RESTAURANT	197 MADISON STREET  	Chinese             	01/04/2016	  8
